index,yr,mo,date,latlon,latitude,longitude,city,pays,description,killed,injured,kidnapped,EIouAL,tableCategory
56,2015,10,2015-10-03,23.812662 90.410741,23.812662,90.410741,Dhaka,Bangladesh,L'EI revendique la mort par balle d'une Japonais.,1,0,0,EI,Dirigé
57,2015,10,2015-10-06,12.781183 45.021504,12.781183,45.021504,Aden,Yémen,Une série d'explosions dans les deux plus grandes villes du Yémon font au moins 25 morts.,25,0,0,EI,Dirigé
58,2015,10,2015-10-10,39.930678 32.852024,39.930678,32.852024,Ankara,Turquie,"Deux explosions font 102 morts lors d’une manifestation politique à Ankara, capitale de la Turquie. L’État islamique est soupçonné.",102,0,0,EI,Dirigé
59,2015,10,2015-10-24,23.812662 90.410741,23.812662,90.410741,Dhaka,Bangladesh,L'État islamique revendique les explosions qui ont fait 1 mort et des douzaines de blessés lors d'une célébration dans une mosquée chiite.,1,,0,EI,Dirigé
60,2015,10,2015-10-31,31.070262 34.057983,31.070262,34.057983,Sinaï,Égypte,"Un avion de la compagnie russe Metrojet explose au dessus du Sinaï en Égypte, tuant les 224 occupants de l'avion.",224,0,0,EI,Dirigé
61,2015,11,2015-11-04,23.812662 90.410741,23.812662,90.410741,Dhaka,Bangladesh,L'État islamique revendique une attaque envers deux policiers.,1,1,0,EI,Dirigé
62,2015,11,2015-11-04,31.070262 34.057983,31.070262,34.057983,Sinaï,Égypte,Un groupe affilié à l'État islamique revendique un attentat-suicide qui a tué au moins trois policiers,3,0,0,EI,Dirigé
63,2015,11,2015-11-12,33.888842 35.495436,33.888842,35.495436,Beyrouth,Liban,"Un double attentat-suicide revendiqué par l’État islamique fait 44 morts dans la banlieue sud de Beyrouth, fief du Hezbollah.",44,0,0,EI,Dirigé
64,2015,11,2015-11-13,48.857051 2.339331,48.857051,2.339331,Paris,France,L’État islamique revendique les attentats de Paris du 13 novembre qui font 130 morts. ,130,0,0,EI,Dirigé
65,2015,11,2015-11-20,12.6500 8.0000,1680452,36739,Bamako,Mali,"À Bamako, des djihadistes prennent 170 personnes en otages à l'hôtel Radisson Blu.",20,,,AL,Dirigé
66,2015,11,2015-11-24,36.8064948 10.1815316,36.8064948,10.1815316,Tunis,Tunisie,Un attentat à la bombe visant un autobus de la garde présidentielle fait 12 morts et une quinzaine de blessés à Tunis.,12,15,0,EI,Dirigé
67,2015,11,2015-11-24,31.070262 34.057983,31.070262,34.057983,Sinaï,Égypte,Des militants de l'EI attaquent un hôtel dans le nord de la péninsule du Sinaï.,7,0,0,EI,Dirigé
68,2015,11,2015-11-26,23.812662 90.410741,23.812662,90.410741,Dhaka,Bangladesh,L'État islamique revendique l'attaque d'une mosquée chiite durant la prière.,1,3,0,EI,Dirigé
69,2015,12,2015-12-02,34.109353 -117.294989,34.109353,-117.294989,San Bernardino,États-Unis,"Un couple tue 14 personnes dans un centre pour personnes handicapées à San Bernardino, en Californie. Ils auraient été inspirés par le groupe armé État islamique.",12,0,0,EI,Inspiré
70,2015,12,2015-12-10,36.658611 40.371389,36.658611,40.371389,Tall Tamer,Syrie,Un triple attentat au camion piégé est revendiqué par l'État islamique.,55,80,0,EI,Dirigé
